Source,Target,Type,Weight
6.84E+18,6.95E+18,Undirected,1
6.85E+18,7.65E+18,Undirected,1
6.85E+18,7.53E+18,Undirected,1
6.85E+18,7.48E+18,Undirected,1
7.53E+18,7.65E+18,Undirected,1
7.48E+18,7.65E+18,Undirected,1
7.48E+18,7.53E+18,Undirected,1
7.57E+18,7.65E+18,Undirected,1
7.58E+18,7.65E+18,Undirected,1
7.47E+18,7.65E+18,Undirected,1
7.57E+18,7.58E+18,Undirected,1
6.85E+18,7.57E+18,Undirected,1
7.47E+18,7.57E+18,Undirected,1
6.85E+18,7.58E+18,Undirected,1
7.47E+18,7.58E+18,Undirected,1
6.85E+18,7.47E+18,Undirected,1
6.85E+18,6.94E+18,Undirected,1
6.78E+18,6.84E+18,Undirected,1
6.80E+18,7.34E+18,Undirected,1
6.90E+18,7.34E+18,Undirected,1
6.97E+18,7.34E+18,Undirected,1
6.82E+18,7.34E+18,Undirected,1
6.97E+18,7.34E+18,Undirected,1
6.80E+18,6.90E+18,Undirected,1
6.80E+18,6.97E+18,Undirected,1
6.80E+18,6.82E+18,Undirected,1
6.80E+18,6.97E+18,Undirected,1
6.90E+18,6.97E+18,Undirected,1
6.82E+18,6.90E+18,Undirected,2
6.90E+18,6.97E+18,Undirected,1
6.82E+18,6.97E+18,Undirected,1
6.97E+18,6.97E+18,Undirected,1
6.82E+18,6.97E+18,Undirected,1
7.03E+18,7.19E+18,Undirected,1
6.78E+18,6.93E+18,Undirected,3
6.56E+18,6.78E+18,Undirected,4
6.56E+18,6.76E+18,Undirected,1
6.76E+18,6.78E+18,Undirected,1
6.83E+18,7.48E+18,Undirected,1
6.91E+18,7.48E+18,Undirected,1
6.90E+18,7.48E+18,Undirected,1
6.82E+18,7.48E+18,Undirected,1
7.30E+18,7.48E+18,Undirected,1
6.83E+18,6.91E+18,Undirected,1
6.83E+18,6.90E+18,Undirected,1
6.82E+18,6.83E+18,Undirected,2
6.83E+18,7.30E+18,Undirected,1
6.90E+18,6.91E+18,Undirected,1
6.82E+18,6.91E+18,Undirected,1
6.91E+18,7.30E+18,Undirected,1
6.90E+18,7.30E+18,Undirected,1
6.82E+18,7.30E+18,Undirected,1
